identifiant;circonscription;nom;parti_sigle;parti;semaines_presence;commission_presences;amendements_signes;amendements_adoptes
PA719608;6;emmanuelle ménard;NI;Rassemblement national;39;43;2241;37
PA720586;5;pierre vatin;LR;Les Républicains;30;19;3321;82
PA720598;9;marguerite deprez-audebert;MODEM;Mouvement Démocrate;31;53;626;125
PA719480;5;olivier gaillard;NI;La République en Marche;13;13;306;66
PA721616;7;pacôme rupin;LREM;La République en Marche;32;29;417;196
PA642695;5;éric bothorel;LREM;La République en Marche;29;39;546;258
PA720546;16;alain bruneel;GDR;Parti communiste français;24;7;2743;67
PA721514;9;stéphanie kerbarh;LREM;La République en Marche;28;48;726;346
PA2492;5;didier quentin;LR;Les Républicains;21;27;2848;65
PA607595;1;hervé pellois;LREM;La République en Marche;31;39;889;252
PA330788;15;bernard reynès;LR;Les Républicains;7;5;492;11
PA588884;11;clémentine autain;LFI;La France Insoumise;33;42;5417;36
PA672;7;jean-jacques bridey;LREM;La République en Marche;31;61;346;166
PA720210;1;valérie beauvais;LR;Les Républicains;31;36;3416;82
PA223837;8;bernard brochand;LR;Les Républicains;4;2;588;12
PA334768;3;jean-louis touraine;LREM;La République en Marche;20;22;639;253
PA719960;3;valéria faure-muntian;LREM;La République en Marche;30;27;456;245
PA721174;6;joachim son-forget;NI;Union des démocrates;17;15;446;12
PA718802;2;alain perea;LREM;La République en Marche;25;16;590;227
PA722358;10;thomas gassilloud;AE;La République en Marche;21;26;600;73
PA719972;5;nathalie sarles;LREM;La République en Marche;27;38;1163;271
PA405480;8;françois pupponi;LT;Régions et peuples solidaires;32;52;2610;86
PA720952;10;aurélien taché;NI;La République en Marche;20;10;1423;117
PA719866;8;caroline abadie;LREM;La République en Marche;30;53;342;185
PA719600;6;éric poulliat;LREM;La République en Marche;24;43;466;204
PA720822;12;bruno bilde;NI;Rassemblement national;21;17;391;1
PA722000;3;stéphane buchou;LREM;La République en Marche;22;19;836;243
PA719616;7;christophe euzet;AE;La République en Marche;26;23;710;88
PA689;4;marie-george buffet;GDR;Parti communiste français;31;22;2753;67
PA720606;10;ludovic pajot;NI;Rassemblement national;22;10;322;1
PA719488;6;philippe berta;MODEM;Mouvement Démocrate;25;35;808;292
PA719504;2;jean-luc lagleize;MODEM;Mouvement Démocrate;24;16;546;116
PA721624;8;laetitia avia;LREM;La République en Marche;30;28;437;232
PA719242;1;jean-baptiste moreau;LREM;La République en Marche;28;49;393;186
PA721636;6;jean-françois parigi;LR;Les Républicains;19;16;723;15
PA720552;9;isabelle rauch;LREM;La République en Marche;29;40;394;192
PA719118;1;françois cormier-bouligeon;LREM;La République en Marche;28;23;668;226
PA720310;6;christophe arend;LREM;La République en Marche;14;8;407;210
PA719130;16;monica michel;LREM;La République en Marche;22;42;834;223
PA720326;8;brahim hammouche;MODEM;Mouvement Démocrate;29;47;655;112
PA721296;6;guillaume gouffier-cha;LREM;La République en Marche;35;71;592;247
PA1630;8;michel herbillon;LR;Les Républicains;31;23;611;14
PA718918;3;alexandra louis;LREM;La République en Marche;23;27;430;218
PA720214;2;aina kuric;AE;La République en Marche;32;21;794;87
PA267429;4;dino cinieri;LR;Les Républicains;23;68;5704;106
PA721182;7;frédéric petit;MODEM;Mouvement Démocrate;28;28;557;112
PA718810;3;mireille robert;LREM;La République en Marche;24;12;641;226
PA722366;11;jean-luc fugit;LREM;La République en Marche;30;37;790;246
PA719980;6;julien borowczyk;LREM;La République en Marche;29;38;624;243
PA720960;1;olivier serva;LREM;La République en Marche;17;19;528;211
PA719874;9;élodie jacquier-laforge;MODEM;Mouvement Démocrate;28;26;614;126
PA719890;1;danielle brulebois;LREM;La République en Marche;28;53;1443;307
PA720830;1;valérie thomas;LREM;La République en Marche;25;31;410;180
PA722008;4;martine leguille-balloy;LREM;La République en Marche;24;16;643;198
PA719624;7;bérangère couillard;LREM;La République en Marche;27;28;487;257
PA268019;5;jean-christophe lagarde;UDI;Union des démocrates;31;33;1369;44
PA720614;11;marine le pen;NI;Rassemblement national;30;25;323;2
PA267289;4;jean-pierre door;LR;Les Républicains;29;40;1918;37
PA720630;7;maxime minot;LR;Les Républicains;36;41;1999;62
PA719496;1;pierre cabaré;LREM;La République en Marche;28;24;968;215
PA719512;3;corinne vignon;LREM;La République en Marche;25;56;543;216
PA719250;1;philippe chassaing;LREM;La République en Marche;24;18;393;189
PA721644;7;rodrigue kokouendo;LREM;La République en Marche;32;41;560;191
PA719266;3;jean-pierre cubertafon;MODEM;Mouvement Démocrate;28;25;717;122
PA760658;1;francis chouat;LREM;La République en Marche;28;26;389;207
PA720318;7;hélène zannier;LREM;La République en Marche;21;13;495;210
PA719138;1;michel castellani;LT;Régions et peuples solidaires;27;30;2441;84
PA720334;2;jimmy pahun;MODEM;Mouvement Démocrate;30;33;600;116
PA2529;3;jean-luc reitzer;LR;Les Républicains;12;7;472;10
PA718926;13;pierre dharréville;GDR;Parti communiste français;38;75;2947;68
PA720222;3;éric girardin;LREM;La République en Marche;26;53;636;193
PA695100;8;meyer habib;UDI;Union des démocrates;27;37;1247;37
PA677483;1;stéphane mazars;LREM;La République en Marche;29;31;600;223
PA722374;12;cyrille isaac-sibille;MODEM;Mouvement Démocrate;26;38;639;121
PA721996;2;patrick loiseau;MODEM;Mouvement Démocrate;25;31;550;111
PA643134;1;isabelle valentin;LR;Les Républicains;24;22;4476;92
PA340343;1;hervé saulignac;SOC;Parti socialiste;32;42;3836;142
PA722390;2;josiane corneloup;LR;Les Républicains;22;25;7479;154
PA720968;2;justine benin;MODEM;Mouvement Démocrate;16;14;843;135
PA643145;4;hélène vainqueur-christophe;SOC;Parti progressiste martiniquais;12;6;3826;139
PA719882;10;marjolaine meynier-millefert;LREM;La République en Marche;21;15;624;213
PA332523;2;marie-christine dalloz;LR;Les Républicains;33;50;3430;89
PA719632;8;sophie panonacle;LREM;La République en Marche;24;29;687;242
PA720846;6;bastien lachaud;LFI;La France Insoumise;29;29;5441;36
PA722022;3;laëtitia romeiro dias;LREM;La République en Marche;21;25;544;235
PA606507;10;florent boudié;LREM;La République en Marche;25;56;334;132
PA720622;6;carole bureau-bonnard;LREM;La République en Marche;27;35;1053;247
PA719520;4;mickaël nogal;LREM;La République en Marche;30;22;343;179
PA719258;2;michel delpon;LREM;La République en Marche;22;23;432;192
PA267378;1;geneviève levy;LR;Les Républicains;11;7;3405;69
PA719272;2;frédérique meunier;LR;Les Républicains;21;17;4135;118
PA719146;2;jean-félix acquaviva;LT;Régions et peuples solidaires;22;17;2196;70
PA720342;3;nicole le peih;LREM;La République en Marche;27;41;684;207
PA719162;4;jacqueline dubois;LREM;La République en Marche;25;24;854;259
PA721314;4;raphaël schellenberger;LR;Les Républicains;37;42;1492;26
PA718930;14;anne-laurence petel;LREM;La République en Marche;22;20;438;183
PA721328;4;anne brugnera;LREM;La République en Marche;14;12;637;234
PA721632;5;patricia lemoine;AE;Mouvement Démocrate;36;49;1190;83
PA720230;4;lise magnier;AE;Mouvement Démocrate;29;24;1236;97
PA267794;9;michèle tabarot;LR;Les Républicains;10;7;1030;16
PA722382;1;benjamin dirx;LREM;La République en Marche;25;23;333;185
PA342415;4;marie-noëlle battistel;SOC;Parti socialiste;23;46;3754;141
PA722398;3;rémy rebeyrotte;LREM;La République en Marche;39;48;659;236
PA720976;3;max mathiasin;MODEM;Mouvement Démocrate;10;8;771;122
PA720988;1;josette manin;SOC;Parti progressiste martiniquais;15;21;3837;146
PA267204;3;jean-marie sermier;LR;Les Républicains;30;30;5504;121
PA719640;9;sophie mette;MODEM;Mouvement Démocrate;28;37;749;185
PA720854;12;stéphane testé;LREM;La République en Marche;29;35;1191;289
PA722030;18;pierre-yves bournazel;AE;Mouvement Démocrate;29;27;995;77
PA719652;11;véronique hammerer;LREM;La République en Marche;26;33;675;237
